case_id,dataset_version,prompt,capability,expected_language,expected_tool,expected_categories,requires_rag,requires_bge_embedding_retrieval,requires_web_search,requires_weather_api,requires_transport_tool,expected_tool_call,expected_grounded,difficulty,risk_level,expected_behavior,acceptance_criteria,implementation_status,observed_model,observed_tool_calls,observed_answer,pass,latency_ms,tool_latency_ms,retrieval_hit_rate,grounding_error,failure_type,reviewer_notes
CAP-0001,capability_suite_v1,I want somewhere quiet with books where I can spend an hour.,semantic_retrieval,en,discovery,library,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0002,capability_suite_v1,Find somewhere green and relaxing for a walk.,semantic_retrieval,en,discovery,park|garden,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0003,capability_suite_v1,I want to see art rather than history.,semantic_retrieval,en,discovery,gallery,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0004,capability_suite_v1,Where can I learn about Turin's past?,semantic_retrieval,en,discovery,museum|historic_site,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0005,capability_suite_v1,Find a place with a panoramic view over the city.,semantic_retrieval,en,discovery,viewpoint,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0006,capability_suite_v1,I want somewhere to work out indoors.,semantic_retrieval,en,discovery,fitness_centre|sports_centre,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0007,capability_suite_v1,I need a cheap quick meal.,semantic_retrieval,en,discovery,fast_food,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0008,capability_suite_v1,I want somewhere lively for drinks late at night.,semantic_retrieval,en,discovery,bar|pub|nightclub,false,true,false,false,false,true,true,medium,medium,Use semantic intent to retrieve relevant CityBuddy leaf categories without inventing unsupported categories.,Top results should belong to one of the expected leaf categories; query semantics preserved; structured result valid.,ready,,,,,,,,,,
CAP-0009,capability_suite_v1,Tell me what makes A come Ambiente worth visiting based only on CityBuddy's stored evidence.,rag_grounded_answer,en,rag_retrieval,museum,true,true,false,false,false,true,true,medium,high,Retrieve BGE-indexed evidence and answer only from retrieved evidence; abstain on missing facts.,"Every factual claim must be traceable to retrieved evidence; no unsupported opening-hours, price, rating, or qualitative claims.",ready,,,,,,,,,,
CAP-0010,capability_suite_v1,Summarize the verified information CityBuddy has for Armeria Reale.,rag_grounded_answer,en,rag_retrieval,museum,true,true,false,false,false,true,true,medium,high,Retrieve BGE-indexed evidence and answer only from retrieved evidence; abstain on missing facts.,"Every factual claim must be traceable to retrieved evidence; no unsupported opening-hours, price, rating, or qualitative claims.",ready,,,,,,,,,,
