case_id,dataset_version,prompt,language,expected_categories,expected_limit,expected_category_limits,expected_goal,expected_tool_intent,expected_nearby,expected_radius_km,expected_target_place_name,expected_valid_plan,expected_unsupported_constraints,difficulty,risk_level,tags,pass_criteria,notes,observed_model,observed_output,pass,latency_ms,retry_count,failure_type,reviewer_notes
INT-0001,planner_intent_v1,Recommend two attractions in Turin.,en,attraction,2,"{""attraction"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|attraction|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0002,planner_intent_v1,Find me one good attraction in Turin.,en,attraction,1,"{""attraction"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|attraction|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0003,planner_intent_v1,I want to visit a attraction in Turin.,en,attraction,1,"{""attraction"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|attraction|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0004,planner_intent_v1,Recommend two bars in Turin.,en,bar,2,"{""bar"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|bar|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0005,planner_intent_v1,Find me one good bar in Turin.,en,bar,1,"{""bar"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|bar|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0006,planner_intent_v1,I want to visit a bar in Turin.,en,bar,1,"{""bar"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|bar|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0007,planner_intent_v1,Recommend two cafés in Turin.,en,cafe,2,"{""cafe"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|cafe|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0008,planner_intent_v1,Find me one good café in Turin.,en,cafe,1,"{""cafe"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|cafe|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0009,planner_intent_v1,I want to visit a café in Turin.,en,cafe,1,"{""cafe"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|cafe|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0010,planner_intent_v1,Recommend two churchs in Turin.,en,church,2,"{""church"": 2}",recommend,discovery,false,,,true,,basic,high,leaf_category|church|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
